,filename, H,C,N,O,F,Cl,Br,V,Cu,Zn,Zr, total degree of unsaturation,metalic percentage, oxygetn-to-metal ratio,electronegtive-to-total ratio, weighted electronegativity per atom, nitrogen to oxygen ,largest_pore_diam1,largest_pore_diam2,density,ASA_unit_volume,ASA_unit_mass,helium void fraction,Henry Coef of propane,Henry Coef of propene,avg_loading_absolute_propane-1,avg_loading_absolute_propene-1,avg_loading_absolute_propane-0.1,avg_loading_absolute_propene-0.1,wc-propane,wc-propene,S-propane-1,S-propene-1,APS-propane,APS-propene
33,hMOF-7001765.cif,24,90,0,32,0,0,34,0,0,0,6,62.0,6.666666666666667,5.333333333333333,0.3548387096774194,1.132903225806452,0.0,12.22808,4.62653,1.39498,1575.83,1129.64,0.687713,0.00129212,0.000763856,2.3909849932,1.8126256288,1.4473593736,0.9352465318,0.9436256195999999,0.877379097,1.32171952957126,0.7565901672984888,1.247208410029101,0.663816397783427
34,hMOF-3001675.cif,96,116,16,118,0,0,0,0,16,0,0,65.0,13.79310344827586,7.375,0.3701657458563536,1.255690607734807,0.135593220338983,8.46386,5.54147,0.742412,2657.5,3579.55,0.67369,9.01193e-05,6.49303e-05,4.3682545229,3.207786079,0.4879209107,0.3543115332,3.8803336122,2.8534745458,1.364498648828786,0.7328699085619087,5.294709970851821,2.09122562946418
35,hMOF-5030675.cif,15,80,4,21,0,0,17,0,0,4,0,64.0,5.0,5.25,0.2978723404255319,0.9554609929078014,0.1904761904761904,21.83683,21.07704,0.498905,1696.99,3401.43,0.906334,0.000139909,0.000100722,3.8779059639,2.9361571688,0.6808819915,0.5011400338,3.1970239724,2.435017135,1.323392129588455,0.7556339331645996,4.230916363179779,1.839981575043245
36,hMOF-1004651.cif,28,98,20,32,0,0,0,0,0,0,6,80.0,6.122448979591836,5.333333333333333,0.2826086956521739,0.928695652173913,0.625,6.34447,3.60792,1.48885,0.0,0.0,0.394059,0.0152048,0.00777143,0.9529100132,1.090277165,0.8130376853,0.6458294662,0.1398723279,0.4444476988,0.8757608918511826,1.141864188393023,0.1224947146270051,0.5074989108734085
37,hMOF-5052508.cif,44,54,6,18,0,0,0,0,0,2,0,31.5,3.703703703703703,9.0,0.1935483870967742,0.6464516129032257,0.3333333333333333,10.01422,7.87768,0.738922,1838.67,2488.32,0.689094,0.00231742,0.00139994,5.1125164835,3.6983791105,2.8641928414,1.8305963308,2.2483236421,1.8677827797,1.3851406247066,0.72194835828443,3.114244414161013,1.348442711436344
38,hMOF-5064282.cif,8,56,4,16,0,0,16,0,4,0,0,44.0,7.142857142857142,4.0,0.3461538461538461,1.101538461538462,0.25,5.02026,3.57478,1.35564,0.0,0.0,0.542313,0.00016503,0.000154076,1.3400911448,1.4834243154,0.6253656378,0.5917709205,0.7147255069999999,0.8916533949,0.9051895196530748,1.104741027473741,0.6469620383651303,0.9850460876322753
39,hMOF-5073547.cif,21,114,6,24,0,0,33,0,6,0,0,86.5,5.263157894736842,4.0,0.3088235294117647,0.9729411764705884,0.25,3.7042,2.13534,2.22302,0.0,0.0,0.118737,2.92386e-16,9.0227e-14,0.0,0.0,0.0,0.0,0.0,0.0,,,,
40,hMOF-5014834.cif,14,22,16,13,0,0,0,0,0,4,0,12.0,18.18181818181818,3.25,0.4202898550724637,1.35304347826087,1.230769230769231,7.15254,5.25512,0.791543,2363.3,2985.68,0.625113,4.97848e-05,3.95298e-05,3.0227651994,2.3876077388,0.2715177912,0.217664298,2.7512474082,2.1699434408,1.268562908067609,0.7882935829515079,3.490130412959665,1.710552489750355
41,hMOF-5065566.cif,8,34,4,16,0,0,0,0,4,0,0,30.0,11.76470588235294,4.0,0.303030303030303,1.018181818181818,0.25,4.6415,4.08853,0.95975,1299.15,1353.63,0.529968,0.000179934,0.000219817,2.7512955675,3.6349275916,1.1026926636,1.3396926881,1.6486029039,2.2952349035,0.7584239822755658,1.318523706225128,1.2503399795669,3.026321631620095
42,hMOF-6002661.cif,12,44,0,20,0,12,0,4,0,0,0,33.0,9.090909090909092,5.0,0.3478260869565217,1.16,0.0,4.24346,3.75269,1.61039,159.065,98.7747,0.422766,0.00290691,0.0052051,1.052495024,1.6308567176,1.0309982388,1.6089320104,0.02149678519999987,0.02192470719999995,0.6466582422550171,1.546411898366616,0.01390107333156558,0.03390462808228414
