filename, H,C,N,O, total degree of unsaturation,metalic percentage, oxygetn-to-metal ratio,electronegtive-to-total ratio, weighted electronegativity per atom, nitrogen to oxygen ,largest_pore_diam1,largest_pore_diam2,density,ASA_unit_volume,ASA_unit_mass,helium void fraction,Henry Coef of propane,Henry Coef of propene,avg_loading_absolute_propane-1,avg_loading_absolute_propene-1,avg_loading_absolute_propane-0.1,avg_loading_absolute_propene-0.1,wc-propane,wc-propene,S-propane-1,S-propene-1,APS-propane,APS-propene
hMOF-24748.cif,11,32,2,8,23.5,6.25,4,0.274193548,0.898709677,0.25,7.31846,6.37332,1.80035,1188.46,660.128,0.863033,15.2805,4.27739,1.494804901,1.663983316,1.578323813,1.351734544,-0.083518911,0.312248772,0.900131829,1.110948383,-0.07517803,0.346892268
hMOF-7001743.cif,27,86,0,32,59,6.976744186,5.333333333,0.338888889,1.088444444,0,10.95709,4.16976,1.4958,1444.35,965.603,0.638971,0.000916634,0.000557155,2.208960394,1.60882464,1.664401322,1.081347664,0.544559072,0.527476976,1.375782539,0.726859058,0.749194863,0.383401418
hMOF-5016012.cif,24,30,0,26,19,13.33333333,6.5,0.30952381,1.064761905,0,9.61596,4.63354,0.879232,1871.32,2128.36,0.578249,6.13E-05,4.81E-05,3.085915598,2.588460994,0.356911821,0.278884803,2.729003777,2.309576192,1.194573817,0.837118632,3.259996459,1.933389263
hMOF-7002850.cif,32,126,6,44,92.5,4.761904762,7.333333333,0.338709677,1.089677419,0.136363636,24.07929,9.7465,0.636179,1548.64,2434.28,0.864307,0.000211225,0.000143028,2.431309656,1.88088546,0.602463587,0.427444735,1.828846069,1.453440725,1.295234783,0.772060798,2.368785041,1.122144605
hMOF-7000026.cif,57,74,15,32,42.75,8.108108108,5.333333333,0.255434783,0.846086957,0.46875,11.43828,3.85998,0.910145,982.839,1079.87,0.566992,0.000823339,0.000628637,2.825877125,2.464795678,1.568554551,1.144292454,1.257322574,1.320503224,1.148796022,0.870476552,1.444407172,1.149467093
hMOF-1002542.cif,4,16,0,10,13,12.5,5,0.388888889,1.284444444,0,5.2722,4.84887,2.1871,1260.73,576.441,0.769581,14.8369,4.59727,1.551737309,1.019773299,1.564352943,0.998628182,-0.012615634,0.021145117,1.524702592,0.655865613,-0.01923509,0.013868355
hMOF-1000295.cif,4,26,0,10,21,7.692307692,5,0.36,1.1616,0,11.3174,10.97851,1.26688,1591.87,1256.52,0.815616,0.00108041,0.00069012,3.3409027,2.666811075,2.738212299,1.771015261,0.602690401,0.895795814,1.255284454,0.796632187,0.756547891,0.713619778
hMOF-5067702.cif,50,88,4,16,52,4.545454545,4,0.22826087,0.719130435,0.25,7.00059,3.87229,1.26171,1148.85,910.548,0.547301,0.00112501,0.000657524,1.770906351,1.727006898,1.228889626,0.997440313,0.542016726,0.729566585,1.02747697,0.973257824,0.556909703,0.710056387
hMOF-5079265.cif,10,32,4,12,24,6.25,6,0.333333333,1.078787879,0.333333333,5.38968,3.8795,1.51505,1411.31,931.526,0.7113,0.023602,0.0210651,1.792800859,2.298403189,1.754015128,1.791566495,0.038785731,0.506836694,0.781585348,1.279450802,0.030314359,0.648472614
hMOF-5081384.cif,70,95,6,16,59.5,2.105263158,8,0.116402116,0.387724868,0.375,17.84571,16.37282,0.48469,2411.93,4976.23,0.9048,0.116803,0.0727046,7.744243345,6.565383679,4.631981152,3.692384219,3.112262192,2.87299946,1.181923732,0.846078281,3.678456545,2.430782445
